Iteration,Category,data_type,Min,Max,Mean,Median,STD
220,Mixture,skewness,-0.16,-0.16,-0.16,-0.16,0.0
221,Mixture,harmonic,-0.31,0.26,-0.0,-0.0,0.06
221,Mixture,skewness,-0.08,-0.08,-0.08,-0.08,0.0
216,Mixture,skewness,0.01,0.01,0.01,0.01,0.0
222,Mixture,harmonic,-0.35,0.32,0.0,-0.0,0.07
223,Mixture,harmonic,-0.3,0.34,-0.0,0.0,0.07
223,Mixture,skewness,0.03,0.03,0.03,0.03,0.0
224,Mixture,harmonic,-0.32,0.31,-0.0,0.0,0.07
224,Mixture,skewness,0.01,0.01,0.01,0.01,0.0
225,Mixture,harmonic,-0.3,0.31,0.0,0.0,0.08
225,Mixture,skewness,-0.03,-0.03,-0.03,-0.03,0.0
226,Mixture,harmonic,-0.27,0.27,0.0,-0.0,0.06
226,Mixture,skewness,0.06,0.06,0.06,0.06,0.0
227,Mixture,harmonic,-0.33,0.31,-0.0,0.0,0.06
227,Mixture,skewness,0.02,0.02,0.02,0.02,0.0
222,Mixture,skewness,0.06,0.06,0.06,0.06,0.0
216,Mixture,harmonic,-0.31,0.31,-0.0,-0.0,0.07
215,Mixture,skewness,-0.23,-0.23,-0.23,-0.23,0.0
215,Mixture,harmonic,-0.31,0.27,-0.0,0.0,0.07
203,Mixture,skewness,-0.1,-0.1,-0.1,-0.1,0.0
204,Mixture,harmonic,-0.29,0.27,-0.0,0.0,0.06
204,Mixture,skewness,0.0,0.0,0.0,0.0,0.0
205,Mixture,harmonic,-0.28,0.31,0.0,-0.0,0.07
205,Mixture,skewness,-0.0,-0.0,-0.0,-0.0,0.0
206,Mixture,harmonic,-0.38,0.33,-0.0,0.0,0.07
206,Mixture,skewness,-0.13,-0.13,-0.13,-0.13,0.0
207,Mixture,harmonic,-0.35,0.32,0.0,0.0,0.08
207,Mixture,skewness,-0.23,-0.23,-0.23,-0.23,0.0
208,Mixture,harmonic,-0.39,0.36,-0.0,0.0,0.08
208,Mixture,skewness,-0.07,-0.07,-0.07,-0.07,0.0
209,Mixture,harmonic,-0.37,0.34,0.0,-0.0,0.07
209,Mixture,skewness,0.04,0.04,0.04,0.04,0.0
210,Mixture,harmonic,-0.31,0.3,0.0,-0.0,0.07
210,Mixture,skewness,0.04,0.04,0.04,0.04,0.0
211,Mixture,harmonic,-0.26,0.27,-0.0,0.0,0.05
211,Mixture,skewness,-0.11,-0.11,-0.11,-0.11,0.0
