Iteration,Category,data_type,Min,Max,Mean,Median,STD
176,Mixture,harmonic,-0.29,0.31,-0.0,-0.0,0.07
202,Mixture,harmonic,-0.39,0.38,-0.0,-0.0,0.08
203,Mixture,harmonic,-0.35,0.25,-0.02,-0.02,0.07
217,Mixture,harmonic,-0.27,0.21,-0.0,0.0,0.06
217,Mixture,percussive,-0.49,0.53,0.0,0.0,0.08
218,Mixture,harmonic,-0.31,0.32,-0.0,-0.0,0.07
218,Mixture,percussive,-0.4,0.46,0.0,0.0,0.06
219,Mixture,harmonic,-0.27,0.28,0.0,0.0,0.06
219,Mixture,percussive,-0.35,0.36,-0.0,-0.0,0.07
220,Mixture,harmonic,-0.25,0.24,-0.0,0.0,0.06
220,Mixture,percussive,-0.21,0.18,-0.0,-0.0,0.03
221,Mixture,harmonic,-0.35,0.34,-0.0,-0.0,0.06
221,Mixture,percussive,-0.41,0.42,0.0,-0.0,0.09
216,Mixture,percussive,-0.38,0.38,0.0,0.0,0.08
222,Mixture,harmonic,-0.29,0.31,0.0,-0.0,0.07
223,Mixture,harmonic,-0.34,0.36,0.0,-0.0,0.07
223,Mixture,percussive,-0.5,0.42,0.0,0.0,0.08
224,Mixture,harmonic,-0.44,0.38,0.0,0.0,0.08
224,Mixture,percussive,-0.42,0.41,-0.0,0.0,0.09
225,Mixture,harmonic,-0.26,0.3,-0.0,0.0,0.06
225,Mixture,percussive,-0.41,0.42,0.0,-0.0,0.09
226,Mixture,harmonic,-0.29,0.24,0.0,0.0,0.05
226,Mixture,percussive,-0.43,0.49,-0.0,-0.0,0.07
227,Mixture,harmonic,-0.28,0.26,0.0,0.0,0.05
227,Mixture,percussive,-0.41,0.43,0.0,0.0,0.1
222,Mixture,percussive,-0.39,0.4,-0.0,-0.0,0.08
216,Mixture,harmonic,-0.28,0.33,0.0,-0.0,0.07
215,Mixture,percussive,-0.49,0.47,0.0,0.0,0.09
215,Mixture,harmonic,-0.37,0.32,0.0,-0.0,0.07
203,Mixture,percussive,-0.44,0.4,-0.0,-0.0,0.09
204,Mixture,harmonic,-0.24,0.24,-0.0,0.0,0.06
204,Mixture,percussive,-0.38,0.44,-0.0,-0.0,0.09
205,Mixture,harmonic,-0.2,0.23,-0.0,-0.0,0.06
205,Mixture,percussive,-0.22,0.21,-0.0,0.0,0.03
206,Mixture,harmonic,-0.36,0.33,-0.0,0.0,0.06
206,Mixture,percussive,-0.53,0.58,0.0,0.0,0.1
207,Mixture,harmonic,-0.37,0.28,-0.0,0.0,0.07
207,Mixture,percussive,-0.42,0.45,0.0,0.0,0.08
208,Mixture,harmonic,-0.3,0.31,0.0,0.0,0.07
208,Mixture,percussive,-0.55,0.44,0.0,0.0,0.07
209,Mixture,harmonic,-0.32,0.32,-0.0,-0.0,0.07
209,Mixture,percussive,-0.5,0.47,0.0,-0.0,0.07
210,Mixture,harmonic,-0.28,0.26,0.0,0.0,0.05
210,Mixture,percussive,-0.4,0.4,-0.0,0.0,0.07
211,Mixture,harmonic,-0.26,0.27,-0.0,0.0,0.06
211,Mixture,percussive,-0.39,0.38,0.0,0.0,0.07
212,Mixture,harmonic,-0.2,0.21,-0.0,0.0,0.04
212,Mixture,percussive,-0.25,0.18,0.0,0.0,0.03
213,Mixture,harmonic,-0.28,0.28,0.0,0.0,0.07
